순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'454910,신,두산로보틱스,"138,400",↑,"31,900","+29.95","10,432,624","274.96","16.10%","1,352,820"
2,'011790,신,SKC,"158,600",▲,"19,300","+13.85","7,664,574","522.47","20.25%","1,277,992"
3,'108490,신,로보티즈,"406,000",▲,"80,500","+24.73","3,089,387","379.80","21.08%","1,211,190"
4,'128940,신,한미약품,"536,000",▲,"45,000","+9.16","1,680,082","701.75","13.12%","924,029"
5,'034220,신,LG디스플레이,"15,800",▼,"-290","-1.80","53,655,669","89.03","10.74%","889,870"
6,'022100,신,포스코DX,"38,900",▲,"6,450","+19.88","17,122,907","773.14","11.27%","646,749"
7,'319400,신,현대무벡스,"40,350",▲,"600","+1.51","12,393,026","117.22","11.13%","507,422"
8,'090360,신,로보스타,"122,200",↑,"28,200","+30.00","4,317,731","100.60","44.29%","496,739"
9,'036930,신,주성엔지니어링,"185,500",▼,"-14,500","-7.25","2,575,318","106.48","5.55%","481,306"
10,'001820,경,삼화콘덴서,"114,000",▼,"-35,100","-23.54","3,065,798","48.95","29.50%","381,713"
11,'010170,증,대한광통신,"20,600",▼,"-2,100","-9.25","18,082,178","97.53","11.63%","378,134"
12,'353200,신,대덕전자,"177,800",▼,"-13,100","-6.86","2,018,830","85.50","4.09%","362,813"
13,'066575,신,LG전자우,"124,400",↑,"28,700","+29.99","2,995,359","122.51","17.44%","356,054"
14,'001440,신,대한전선,"47,600",▲,"2,150","+4.73","7,240,448","109.04","3.70%","345,259"
15,'080220,경,제주반도체,"98,500",▲,"700","+0.72","3,158,229","98.92","9.17%","311,643"
16,'347850,경,디앤디파마텍,"83,100",▼,"-11,500","-12.16","3,625,115","110.62","8.28%","302,124"
17,'058610,신,에스피지,"128,600",▲,"12,000","+10.29","1,978,445","245.23","8.93%","253,872"
18,'439960,,코스모로보틱스,"34,500",▼,"-2,600","-7.01","6,759,262","257.89","21.06%","253,082"
19,'047040,신,대우건설,"24,250",▼,"-1,950","-7.44","9,964,055","64.22","2.43%","244,323"
20,'032640,신,LG유플러스,"16,600",▲,"470","+2.91","12,773,572","114.87","3.01%","221,674"
21,'043260,,성호전자,"39,450",▲,"6,050","+18.11","6,157,385","297.42","8.69%","220,727"
22,'486990,증,노타,"38,550",▲,"50","+0.13","5,570,802","41.95","26.10%","220,669"
23,'242040,경,나무기술,"6,610",▼,"-2,170","-24.72","24,250,308","146.62","70.08%","218,049"
24,'062040,신,산일전기,"249,500",▲,"2,500","+1.01","854,435","117.18","2.80%","215,910"
25,'440110,증,파두,"111,100",▼,"-1,000","-0.89","1,845,904","86.27","3.69%","206,951"
