순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'475150,,SK이터닉스,"45,450",▲,"3,650","+8.73","9,118,136","140.07","26.77%","427,005"
2,'058610,신,에스피지,"94,000",▲,"17,200","+22.40","4,744,413","123.34","21.40%","420,666"
3,'073240,신,금호타이어,"7,190",▲,"1,110","+18.26","43,536,815","148.62","15.16%","300,945"
4,'036930,신,주성엔지니어링,"124,500",▲,"26,200","+26.65","2,460,312","89.10","5.30%","300,561"
5,'277810,신,레인보우로보틱스,"424,000",▲,"51,000","+13.67","559,520","93.97","2.89%","234,358"
6,'080220,신,제주반도체,"65,100",↑,"15,000","+29.94","3,456,507","158.13","10.04%","214,046"
7,'240810,신,원익IPS,"97,600",▲,"21,300","+27.92","2,131,721","159.68","4.35%","200,204"
8,'006340,신,대원전선,"13,000",▲,"2,680","+25.97","15,724,696","219.90","20.06%","199,559"
9,'002990,증,금호건설,"9,110",▼,"-380","-4.00","18,136,249","406.00","48.68%","178,389"
10,'403870,신,HPSP,"34,600",▲,"6,050","+21.19","4,742,826","244.52","5.77%","159,962"
11,'319660,신,피에스케이,"127,000",▲,"25,600","+25.25","1,260,860","140.27","4.36%","158,442"
12,'003230,신,삼양식품,"1,165,000",▼,"-78,000","-6.28","129,866","74.33","1.73%","151,833"
13,'082740,신,한화엔진,"38,650",▼,"-650","-1.65","3,757,371","315.66","4.51%","146,309"
14,'007660,신,이수페타시스,"73,100",▲,"13,900","+23.48","1,939,463","112.63","2.65%","138,595"
15,'353200,신,대덕전자,"96,800",↑,"22,300","+29.93","1,434,098","107.89","2.91%","135,314"
16,'095610,신,테스,"130,000",↑,"30,000","+30.00","1,057,955","121.31","5.47%","132,318"
17,'000500,신,가온전선,"132,700",▲,"25,100","+23.33","995,993","182.72","3.35%","127,239"
18,'214450,신,파마리서치,"337,000",▼,"-11,000","-3.16","376,021","78.83","3.62%","126,981"
19,'047040,신,대우건설,"12,780",▲,"1,580","+14.11","9,573,913","167.48","2.33%","121,191"
